createdat,topic,sentimentscore,eventprocessedutctime,partitionid,eventenqueuedutctime
2016-10-09T14:20:05,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:51.11Z
2016-10-09T14:20:05,Skype,4,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:21:51.754Z
2016-10-09T14:20:05,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:52.347Z
2016-10-09T14:20:05,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:52.975Z
2016-10-09T14:20:04,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:21:53.565Z
2016-10-09T14:20:05,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:54.256Z
2016-10-09T14:20:05,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:21:54.831Z
2016-10-09T14:20:05,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:55.525Z
2016-10-09T14:20:05,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:21:56.164Z
2016-10-09T14:20:05,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:56.761Z
2016-10-09T14:21:58,Microsoft,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:21:58.891Z
2016-10-09T14:21:58,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:21:59.5Z
2016-10-09T14:21:58,XBox,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:22:00.141Z
2016-10-09T14:21:58,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:22:00.891Z
2016-10-09T14:21:58,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:01.511Z
2016-10-09T14:21:58,amazon,2,2016-10-09T14:29:22.4839619Z,1,2016-10-09T14:22:02.191Z
2016-10-09T14:21:58,bigdata,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:02.832Z
2016-10-09T14:21:58,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:22:03.509Z
2016-10-09T14:21:58,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:04.111Z
2016-10-09T14:21:58,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:22:04.818Z
2016-10-09T14:21:58,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:22:05.431Z
2016-10-09T14:21:59,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:06.046Z
2016-10-09T14:21:59,Unknown,2,2016-10-09T14:29:22.3589542Z,0,2016-10-09T14:22:06.714Z
2016-10-09T14:21:59,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:07.3Z
2016-10-09T14:21:58,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:08.012Z
2016-10-09T14:21:59,bigdata,4,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:08.629Z
2016-10-09T14:21:59,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:09.272Z
2016-10-09T14:21:59,Unknown,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:09.935Z
2016-10-09T14:21:59,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:22:10.588Z
2016-10-09T14:21:59,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:11.179Z
2016-10-09T14:21:59,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:11.807Z
2016-10-09T14:21:59,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:12.468Z
2016-10-09T14:21:59,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:13.075Z
2016-10-09T14:21:59,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:13.749Z
2016-10-09T14:21:59,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:14.376Z
2016-10-09T14:21:59,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:15.079Z
2016-10-09T14:21:59,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:15.639Z
2016-10-09T14:21:59,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:16.348Z
2016-10-09T14:22:00,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:16.942Z
2016-10-09T14:22:00,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:17.599Z
2016-10-09T14:22:00,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:18.319Z
2016-10-09T14:22:00,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:18.944Z
2016-10-09T14:22:00,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:19.662Z
2016-10-09T14:22:00,Unknown,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:20.384Z
2016-10-09T14:22:00,Microsoft,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:21.043Z
2016-10-09T14:22:00,google,2,2016-10-09T14:29:23.280882Z,3,2016-10-09T14:22:21.615Z
2016-10-09T14:22:00,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:22.276Z
2016-10-09T14:22:00,Skype,2,2016-10-09T14:29:23.108999Z,2,2016-10-09T14:22:22.962Z
2016-10-09T14:22:00,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:23.699Z
2016-10-09T14:22:01,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:24.356Z
2016-10-09T14:22:01,Microsoft,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:27.874Z
2016-10-09T14:22:01,XBox,4,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:28.876Z
2016-10-09T14:22:01,Microsoft,2,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:29.546Z
2016-10-09T14:22:01,XBox,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:30.205Z
2016-10-09T14:22:01,amazon,2,2016-10-09T14:29:22.5015449Z,1,2016-10-09T14:22:30.862Z
2016-10-09T14:22:01,Unknown,4,2016-10-09T14:29:22.3745806Z,0,2016-10-09T14:22:31.515Z
